## mcgen trivial cube data -- canonical a3 margin=3 fmargin=0.01
# 32 3
2 0 1     0 :  0.25         1:0.25         2:0.25    
2 0 1     0 :  0.4975       1:0.25         2:0.25    
2 0 1     0 :  0.25         1:0.4975       2:0.25    
2 0 1     0 :  0.25         1:0.25         2:0.4975  
2 1 2     0 :  0.75         1:0.25         2:0.25    
2 1 2     0 :  0.5025       1:0.25         2:0.25    
2 1 2     0 :  0.75         1:0.4975       2:0.25    
2 1 2     0 :  0.75         1:0.25         2:0.4975 # comment  
2 2 3     0 :  0.25         1:0.75         2:0.25   # 
2 2 3     0 :  0.25         1:0.5025#       2:0.25    
2 2 3     0 :  0.4975       1:0.75         2:0.25    
2 2 3     0 :  0.25         1:0.75         2:0.4975  
2 3 4     0 :  0.75         1:0.75         2:0.25    
2 3 4     0 :  0.75         1:0.5025       2:0.25    
2 3 4     0 :  0.5025       1:0.75         2:0.25    
2 3 4     0 :  0.75         1:0.75         2:0.4975  
2 4 5     0 :  0.25         1:0.25         2:0.75    
2 4 5     0 :  0.25         1:0.25         2:0.5025  
2 4 5     0 :  0.4975       1:0.25         2:0.75    
2 4 5     0 :  0.25         1:0.4975       2:0.75    
2 5 6     0 :  0.75         1:0.25         2:0.75    
2 5 6     0 :  0.75         1:0.25         2:0.5025  
2 5 6     0 :  0.5025       1:0.25         2:0.75    
2 5 6     0 :  0.75         1:0.4975       2:0.75    
2 6 7     0 :  0.25         1:0.75         2:0.75    
2 6 7     0 :  0.25         1:0.75         2:0.5025  
2 6 7     0 :  0.25         1:0.5025       2:0.75    
2 6 7     0 :  0.4975       1:0.75         2:0.75    
2 7 0     0 :  0.75         1:0.75         2:0.75    
2 7 0     0 :  0.75         1:0.75         2:0.5025  
2 7 0     0 :  0.75         1:0.5025       2:0.75    
2 7 0     0 :  0.5025       1:0.75         2:0.75    
